ApplicationName,LoggerName,RequestedURL,Details
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/vendor-blessed2,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/vendor-blessed2"",""transactionId"":""90ea6299-d612-4d61-a14e-a2a05961bca6"",""httpVerb"":""GET"",""message"":""Request Finished in 46 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/vendor-blessed1,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/vendor-blessed1"",""transactionId"":""456b60eb-f516-47a7-859d-eadf2b1bc194"",""httpVerb"":""GET"",""message"":""Request Finished in 68 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/brandable,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/brandable"",""transactionId"":""936a3964-9e13-43e8-b229-7b52469815a7"",""httpVerb"":""GET"",""message"":""Request Finished in 5 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/service/api/apissotoken,"{""httpResponseStatusCode"":401,""requestedUrl"":""http://www.ABC.com/service/api/apissotoken"",""transactionId"":""174b428c-ac51-49f2-9349-5414043dbc8a"",""httpVerb"":""POST"",""message"":""Request Finished in 32 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/customizations/bg,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/customizations/bg"",""transactionId"":""8d4fc0c3-7ea5-49e9-b87d-6d6bdb8302d0"",""httpVerb"":""GET"",""message"":""Request Finished in 17 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/documents/Mjk4VGVSTzBaWkJFbkxuamRkMUE4QT09,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/documents/Mjk4VGVSTzBaWkJFbkxuamRkMUE4QT09"",""transactionId"":""dc572f4d-cfbc-4c1b-a13c-eee22fcf88f6"",""httpVerb"":""GET"",""message"":""Request Finished in 242 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims?AccountStatus=3&claimStatus[0]=pending&top=20&skip=0&cacheBust=1474516809646,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims?AccountStatus=3&claimStatus[0]=pending&top=20&skip=0&cacheBust=1474516809646"",""transactionId"":""17d259c1-0b7e-4224-b4f7-ce0d3b4ca2c5"",""httpVerb"":""GET"",""message"":""Request Finished in 16 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/customizations/bg,"{""httpResponseStatusCode"":401,""requestedUrl"":""http://www.ABC.com/sams/api/v1/customizations/bg"",""transactionId"":""18a0ea96-2f41-4960-9d56-3140fa34032b"",""httpVerb"":""GET"",""message"":""Request Finished in 0 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/customizations/logo,"{""httpResponseStatusCode"":401,""requestedUrl"":""http://www.ABC.com/sams/api/v1/customizations/logo"",""transactionId"":""82abc4cb-6c44-48a2-8594-2a6aa2ada606"",""httpVerb"":""GET"",""message"":""Request Finished in 0 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/token?cacheBust=1474516810150,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/token?cacheBust=1474516810150"",""transactionId"":""70e5624e-dd18-4e48-bed7-4ef2c251e96d"",""httpVerb"":""GET"",""message"":""Request Finished in 0 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/spendingAccounts?cacheBust=1474516810150,"{""httpResponseStatusCode"":401,""requestedUrl"":""http://www.ABC.com/sams/api/v1/spendingAccounts?cacheBust=1474516810150"",""transactionId"":""652dd050-9863-4a25-a463-5d56a65036cb"",""httpVerb"":""GET"",""message"":""Request Finished in 0 milliseconds""}"
